Date,Hike
2017-01-01,58
2017-01-02,47
2017-01-03,33
2017-01-04,32
2017-01-05,31
2017-01-06,29
2017-01-07,39
2017-01-08,39
2017-01-09,28
2017-01-10,26
2017-01-11,26
2017-01-12,31
2017-01-13,29
2017-01-14,48
2017-01-15,50
2017-01-16,50
2017-01-17,32
2017-01-18,28
2017-01-19,29
2017-01-20,24
2017-01-21,40
2017-01-22,31
2017-01-23,30
2017-01-24,30
2017-01-25,31
2017-01-26,31
2017-01-27,34
2017-01-28,55
2017-01-29,52
2017-01-30,30
2017-01-31,29
2017-02-01,36
2017-02-02,26
2017-02-03,29
2017-02-04,41
2017-02-05,37
2017-02-06,26
2017-02-07,29
2017-02-08,30
2017-02-09,31
2017-02-10,36
2017-02-11,56
2017-02-12,55
2017-02-13,34
2017-02-14,29
2017-02-15,31
2017-02-16,34
2017-02-17,37
2017-02-18,55
2017-02-19,64
2017-02-20,51
2017-02-21,38
2017-02-22,36
2017-02-23,37
2017-02-24,39
2017-02-25,59
2017-02-26,50
2017-02-27,34
2017-02-28,34
2017-03-01,35
2017-03-02,36
2017-03-03,42
2017-03-04,58
2017-03-05,55
2017-03-06,48
2017-03-07,48
2017-03-08,40
2017-03-09,42
2017-03-10,49
2017-03-11,60
2017-03-12,62
2017-03-13,46
2017-03-14,48
2017-03-15,84
2017-03-16,57
2017-03-17,50
2017-03-18,61
2017-03-19,72
2017-03-20,46
2017-03-21,40
2017-03-22,38
2017-03-23,36
2017-03-24,42
2017-03-25,58
2017-03-26,61
2017-03-27,46
2017-03-28,43
2017-03-29,40
2017-03-30,45
2017-03-31,45
2017-04-01,64
2017-04-02,66
2017-04-03,47
2017-04-04,42
2017-04-05,37
2017-04-06,38
2017-04-07,43
2017-04-08,59
2017-04-09,70
2017-04-10,51
2017-04-11,45
2017-04-12,40
2017-04-13,47
2017-04-14,55
2017-04-15,70
2017-04-16,68
2017-04-17,47
2017-04-18,43
2017-04-19,42
2017-04-20,37
2017-04-21,44
2017-04-22,57
2017-04-23,62
2017-04-24,46
2017-04-25,42
2017-04-26,33
2017-04-27,38
2017-04-28,45
2017-04-29,58
2017-04-30,68
2017-05-01,43
2017-05-02,39
2017-05-03,42
2017-05-04,40
2017-05-05,36
2017-05-06,56
2017-05-07,63
2017-05-08,41
2017-05-09,43
2017-05-10,41
2017-05-11,38
2017-05-12,38
2017-05-13,57
2017-05-14,65
2017-05-15,52
2017-05-16,42
2017-05-17,38
2017-05-18,40
2017-05-19,43
2017-05-20,69
2017-05-21,68
2017-05-22,54
2017-05-23,50
2017-05-24,53
2017-05-25,51
2017-05-26,55
2017-05-27,93
2017-05-28,98
2017-05-29,94
2017-05-30,57
2017-05-31,53
2017-06-01,52
2017-06-02,57
2017-06-03,69
2017-06-04,77
2017-06-05,49
2017-06-06,52
2017-06-07,55
2017-06-08,52
2017-06-09,53
2017-06-10,73
2017-06-11,81
2017-06-12,59
2017-06-13,51
2017-06-14,70
2017-06-15,62
2017-06-16,56
2017-06-17,68
2017-06-18,64
2017-06-19,58
2017-06-20,57
2017-06-21,56
2017-06-22,53
2017-06-23,56
2017-06-24,72
2017-06-25,80
2017-06-26,67
2017-06-27,56
2017-06-28,59
2017-06-29,62
2017-06-30,58
2017-07-01,79
2017-07-02,100
2017-07-03,90
2017-07-04,91
2017-07-05,66
2017-07-06,68
2017-07-07,68
2017-07-08,80
2017-07-09,82
2017-07-10,62
2017-07-11,56
2017-07-12,57
2017-07-13,58
2017-07-14,60
2017-07-15,80
2017-07-16,82
2017-07-17,63
2017-07-18,60
2017-07-19,59
2017-07-20,51
2017-07-21,60
2017-07-22,74
2017-07-23,78
2017-07-24,57
2017-07-25,56
2017-07-26,54
2017-07-27,60
2017-07-28,61
2017-07-29,79
2017-07-30,83
2017-07-31,55
2017-08-01,56
2017-08-02,55
2017-08-03,52
2017-08-04,58
2017-08-05,69
2017-08-06,76
2017-08-07,58
2017-08-08,52
2017-08-09,56
2017-08-10,51
2017-08-11,54
2017-08-12,67
2017-08-13,77
2017-08-14,52
2017-08-15,54
2017-08-16,49
2017-08-17,48
2017-08-18,51
2017-08-19,69
2017-08-20,68
2017-08-21,43
2017-08-22,48
2017-08-23,49
2017-08-24,49
2017-08-25,54
2017-08-26,66
2017-08-27,63
2017-08-28,51
2017-08-29,42
2017-08-30,41
2017-08-31,39
2017-09-01,49
2017-09-02,64
2017-09-03,71
2017-09-04,76
2017-09-05,37
2017-09-06,33
2017-09-07,35
2017-09-08,37
2017-09-09,53
2017-09-10,48
2017-09-11,43
2017-09-12,36
2017-09-13,34
2017-09-14,37
2017-09-15,42
