Date,Mortgage Rates
2017-01-01,22
2017-01-02,26
2017-01-03,35
2017-01-04,37
2017-01-05,33
2017-01-06,33
2017-01-07,27
2017-01-08,24
2017-01-09,27
2017-01-10,30
2017-01-11,34
2017-01-12,34
2017-01-13,34
2017-01-14,28
2017-01-15,23
2017-01-16,27
2017-01-17,35
2017-01-18,32
2017-01-19,32
2017-01-20,36
2017-01-21,47
2017-01-22,41
2017-01-23,42
2017-01-24,36
2017-01-25,39
2017-01-26,33
2017-01-27,33
2017-01-28,23
2017-01-29,29
2017-01-30,32
2017-01-31,39
2017-02-01,35
2017-02-02,30
2017-02-03,31
2017-02-04,28
2017-02-05,28
2017-02-06,29
2017-02-07,33
2017-02-08,32
2017-02-09,29
2017-02-10,28
2017-02-11,22
2017-02-12,26
2017-02-13,33
2017-02-14,30
2017-02-15,30
2017-02-16,30
2017-02-17,27
2017-02-18,25
2017-02-19,23
2017-02-20,25
2017-02-21,28
2017-02-22,33
2017-02-23,25
2017-02-24,24
2017-02-25,21
2017-02-26,21
2017-02-27,30
2017-02-28,32
2017-03-01,31
2017-03-02,31
2017-03-03,32
2017-03-04,25
2017-03-05,27
2017-03-06,33
2017-03-07,36
2017-03-08,32
2017-03-09,36
2017-03-10,31
2017-03-11,28
2017-03-12,26
2017-03-13,39
2017-03-14,40
2017-03-15,61
2017-03-16,45
2017-03-17,33
2017-03-18,29
2017-03-19,26
2017-03-20,38
2017-03-21,32
2017-03-22,33
2017-03-23,27
2017-03-24,29
2017-03-25,23
2017-03-26,25
2017-03-27,32
2017-03-28,31
2017-03-29,30
2017-03-30,30
2017-03-31,27
2017-04-01,20
2017-04-02,23
2017-04-03,33
2017-04-04,36
2017-04-05,32
2017-04-06,34
2017-04-07,28
2017-04-08,26
2017-04-09,25
2017-04-10,34
2017-04-11,34
2017-04-12,30
2017-04-13,31
2017-04-14,31
2017-04-15,22
2017-04-16,24
2017-04-17,33
2017-04-18,39
2017-04-19,39
2017-04-20,33
2017-04-21,34
2017-04-22,21
2017-04-23,24
2017-04-24,38
2017-04-25,33
2017-04-26,36
2017-04-27,32
2017-04-28,29
2017-04-29,24
2017-04-30,26
2017-05-01,33
2017-05-02,34
2017-05-03,35
2017-05-04,33
2017-05-05,28
2017-05-06,23
2017-05-07,25
2017-05-08,38
2017-05-09,33
2017-05-10,30
2017-05-11,32
2017-05-12,25
2017-05-13,20
2017-05-14,22
2017-05-15,35
2017-05-16,30
2017-05-17,33
2017-05-18,35
2017-05-19,28
2017-05-20,22
2017-05-21,24
2017-05-22,31
2017-05-23,34
2017-05-24,36
2017-05-25,32
2017-05-26,24
2017-05-27,21
2017-05-28,23
2017-05-29,24
2017-05-30,35
2017-05-31,37
2017-06-01,30
2017-06-02,36
2017-06-03,24
2017-06-04,28
2017-06-05,30
2017-06-06,38
2017-06-07,36
2017-06-08,33
2017-06-09,33
2017-06-10,23
2017-06-11,27
2017-06-12,37
2017-06-13,35
2017-06-14,46
2017-06-15,42
2017-06-16,32
2017-06-17,23
2017-06-18,26
2017-06-19,36
2017-06-20,33
2017-06-21,33
2017-06-22,27
2017-06-23,27
2017-06-24,20
2017-06-25,25
2017-06-26,35
2017-06-27,40
2017-06-28,33
2017-06-29,29
2017-06-30,24
2017-07-01,19
2017-07-02,24
2017-07-03,28
2017-07-04,28
2017-07-05,35
2017-07-06,38
2017-07-07,34
2017-07-08,31
2017-07-09,28
2017-07-10,35
2017-07-11,39
2017-07-12,34
2017-07-13,33
2017-07-14,31
2017-07-15,24
2017-07-16,25
2017-07-17,31
2017-07-18,28
2017-07-19,37
2017-07-20,32
2017-07-21,25
2017-07-22,26
2017-07-23,21
2017-07-24,35
2017-07-25,28
2017-07-26,31
2017-07-27,30
2017-07-28,27
2017-07-29,20
2017-07-30,22
2017-07-31,31
2017-08-01,29
2017-08-02,33
2017-08-03,28
2017-08-04,26
2017-08-05,23
2017-08-06,22
2017-08-07,26
2017-08-08,30
2017-08-09,30
2017-08-10,28
2017-08-11,28
2017-08-12,23
2017-08-13,21
2017-08-14,28
2017-08-15,30
2017-08-16,27
2017-08-17,29
2017-08-18,26
2017-08-19,18
2017-08-20,17
2017-08-21,25
2017-08-22,29
2017-08-23,25
2017-08-24,27
2017-08-25,25
2017-08-26,19
2017-08-27,19
2017-08-28,25
2017-08-29,32
2017-08-30,26
2017-08-31,24
2017-09-01,27
2017-09-02,21
2017-09-03,22
2017-09-04,22
2017-09-05,33
2017-09-06,35
2017-09-07,31
2017-09-08,29
2017-09-09,21
2017-09-10,21
2017-09-11,31
2017-09-12,31
2017-09-13,31
2017-09-14,30
2017-09-15,26
