Date,Recession
2017-01-01,3
2017-01-02,6
2017-01-03,8
2017-01-04,9
2017-01-05,9
2017-01-06,8
2017-01-07,4
2017-01-08,6
2017-01-09,9
2017-01-10,7
2017-01-11,7
2017-01-12,8
2017-01-13,9
2017-01-14,5
2017-01-15,4
2017-01-16,7
2017-01-17,7
2017-01-18,7
2017-01-19,10
2017-01-20,11
2017-01-21,7
2017-01-22,7
2017-01-23,10
2017-01-24,12
2017-01-25,13
2017-01-26,12
2017-01-27,9
2017-01-28,5
2017-01-29,9
2017-01-30,11
2017-01-31,9
2017-02-01,10
2017-02-02,12
2017-02-03,9
2017-02-04,8
2017-02-05,5
2017-02-06,10
2017-02-07,8
2017-02-08,7
2017-02-09,11
2017-02-10,9
2017-02-11,7
2017-02-12,6
2017-02-13,11
2017-02-14,10
2017-02-15,11
2017-02-16,13
2017-02-17,10
2017-02-18,5
2017-02-19,5
2017-02-20,9
2017-02-21,9
2017-02-22,10
2017-02-23,9
2017-02-24,8
2017-02-25,6
2017-02-26,9
2017-02-27,12
2017-02-28,11
2017-03-01,12
2017-03-02,10
2017-03-03,10
2017-03-04,6
2017-03-05,8
2017-03-06,11
2017-03-07,13
2017-03-08,9
2017-03-09,13
2017-03-10,8
2017-03-11,6
2017-03-12,5
2017-03-13,9
2017-03-14,9
2017-03-15,10
2017-03-16,13
2017-03-17,9
2017-03-18,6
2017-03-19,9
2017-03-20,11
2017-03-21,10
2017-03-22,10
2017-03-23,10
2017-03-24,9
2017-03-25,4
2017-03-26,8
2017-03-27,8
2017-03-28,11
2017-03-29,10
2017-03-30,9
2017-03-31,9
2017-04-01,5
2017-04-02,8
2017-04-03,12
2017-04-04,11
2017-04-05,11
2017-04-06,11
2017-04-07,10
2017-04-08,7
2017-04-09,3
2017-04-10,11
2017-04-11,12
2017-04-12,11
2017-04-13,9
2017-04-14,8
2017-04-15,5
2017-04-16,5
2017-04-17,12
2017-04-18,12
2017-04-19,13
2017-04-20,9
2017-04-21,11
2017-04-22,6
2017-04-23,7
2017-04-24,14
2017-04-25,14
2017-04-26,13
2017-04-27,12
2017-04-28,10
2017-04-29,6
2017-04-30,10
2017-05-01,13
2017-05-02,12
2017-05-03,12
2017-05-04,11
2017-05-05,10
2017-05-06,5
2017-05-07,6
2017-05-08,13
2017-05-09,10
2017-05-10,12
2017-05-11,11
2017-05-12,10
2017-05-13,5
2017-05-14,6
2017-05-15,10
2017-05-16,7
2017-05-17,11
2017-05-18,10
2017-05-19,7
2017-05-20,5
2017-05-21,5
2017-05-22,9
2017-05-23,7
2017-05-24,7
2017-05-25,8
2017-05-26,7
2017-05-27,4
2017-05-28,5
2017-05-29,5
2017-05-30,8
2017-05-31,8
2017-06-01,7
2017-06-02,8
2017-06-03,5
2017-06-04,6
2017-06-05,6
2017-06-06,8
2017-06-07,7
2017-06-08,6
2017-06-09,6
2017-06-10,6
2017-06-11,4
2017-06-12,7
2017-06-13,6
2017-06-14,7
2017-06-15,7
2017-06-16,5
2017-06-17,6
2017-06-18,5
2017-06-19,6
2017-06-20,6
2017-06-21,7
2017-06-22,7
2017-06-23,5
2017-06-24,5
2017-06-25,5
2017-06-26,6
2017-06-27,8
2017-06-28,5
2017-06-29,5
2017-06-30,6
2017-07-01,4
2017-07-02,4
2017-07-03,5
2017-07-04,4
2017-07-05,7
2017-07-06,7
2017-07-07,6
2017-07-08,3
2017-07-09,5
2017-07-10,6
2017-07-11,7
2017-07-12,5
2017-07-13,7
2017-07-14,5
2017-07-15,3
2017-07-16,5
2017-07-17,7
2017-07-18,5
2017-07-19,6
2017-07-20,6
2017-07-21,5
2017-07-22,5
2017-07-23,6
2017-07-24,4
2017-07-25,7
2017-07-26,5
2017-07-27,5
2017-07-28,5
2017-07-29,7
2017-07-30,4
2017-07-31,7
2017-08-01,7
2017-08-02,7
2017-08-03,6
2017-08-04,6
2017-08-05,4
2017-08-06,3
2017-08-07,5
2017-08-08,5
2017-08-09,7
2017-08-10,5
2017-08-11,4
2017-08-12,4
2017-08-13,5
2017-08-14,5
2017-08-15,6
2017-08-16,6
2017-08-17,4
2017-08-18,3
2017-08-19,3
2017-08-20,5
2017-08-21,5
2017-08-22,5
2017-08-23,7
2017-08-24,5
2017-08-25,6
2017-08-26,5
2017-08-27,4
2017-08-28,8
2017-08-29,7
2017-08-30,7
2017-08-31,7
2017-09-01,6
2017-09-02,5
2017-09-03,4
2017-09-04,5
2017-09-05,9
2017-09-06,8
2017-09-07,6
2017-09-08,7
2017-09-09,6
2017-09-10,5
2017-09-11,8
2017-09-12,6
2017-09-13,7
2017-09-14,7
2017-09-15,8
